AdrID,EGID,Kantonskuerzel,Grundstuecksnummer,Strasse,Nummer,PLZ,Ort,Name,EKoordinate,NKoordinate,Status,Bauperiode,Flaeche,Geschosse,Zivilschutzraum,Heizung,Datum_Heizung
100242037,471115,SH,57,Höfen,7,8243,Altdorf SH,,2691463.579,1293250.951,bestehend,1986-1990,413,2,,Heizkessel (gene.) für ein Geb.,2001-11-29
100242038,471116,SH,278,Höfen,1,8243,Altdorf SH,,2691442.45,1293295.77,bestehend,1996-2000,108,1,,Elektro-Zentralheizung ein Geb.,2001-11-29
100242039,471117,SH,59,Höfen,3,8243,Altdorf SH,,2691433.234,1293274.131,bestehend,Vor 1919,121,4,,Heizkessel (gene.) für ein Geb.,2001-11-29
100242040,471118,SH,60,Höfen,5,8243,Altdorf SH,,2691446.839,1293273.837,bestehend,Vor 1919,151,2,,Elektro-Zentralheizung ein Geb.,2001-11-29
100242041,471119,SH,62,Dorfstrasse,17,8243,Altdorf SH,,2691478.81,1293321.545,bestehend,Vor 1919,251,2,,Heizkessel (gene.) für ein Geb.,2001-11-29
100242042,471122,SH,92,Unterdorf,7,8243,Altdorf SH,Altes Schulhaus,2691515.04,1293289.258,bestehend,Vor 1919,186,2,,Elektro-Zentralheizung ein Geb.,2001-11-29
100242043,471123,SH,270,Unterdorf,3,8243,Altdorf SH,,2691516.691,1293316.088,bestehend,1971-1980,62,2,,Elektro-Zentralheizung ein Geb.,2001-11-29
100242044,471124,SH,83,Dorfstrasse,15,8243,Altdorf SH,,2691506.003,1293340.545,bestehend,Vor 1919,293,3,,Heizkessel (gene.) für ein Geb.,2001-11-29
100242045,471126,SH,77,Hüslibach,2,8243,Altdorf SH,,2691639.792,1293368.273,bestehend,Vor 1919,788,3,,Heizkessel (gene.) für ein Geb.,2001-11-29
100242046,471127,SH,81,Dorfstrasse,12,8243,Altdorf SH,,2691489.053,1293391.673,bestehend,Vor 1919,553,3,,Elektro-Zentralheizung ein Geb.,2001-11-29
100242047,471129,SH,30,Dorfstrasse,18,8243,Altdorf SH,,2691450.703,1293337.076,bestehend,Vor 1919,172,3,,Heizkessel (gene.) für ein Geb.,2001-11-29
100242048,482013,SH,2013,Schaffhauserstrasse,467,8226,Schleitheim,,2678915.007,1287370.357,bestehend,1919-1945,221,2,,Heizkessel (gene.) für ein Geb.,2001-11-29
100242049,482014,SH,1096,Lussenhof,401,8226,Schleitheim,,2679097.875,1287749.988,bestehend,1919-1945,637,1,,Heizkessel (gen.) für mehr. Geb.,2001-11-29
100242050,482016,SH,1251,Bergwaldhof,408,8226,Schleitheim,,2678593.024,1286990.216,bestehend,1919-1945,153,3,1,Heizkessel (gene.) für ein Geb.,2001-11-29
100242051,482017,SH,1205,Hasental,420,8226,Schleitheim,,2678030.104,1287856.858,bestehend,1919-1945,345,2,,Heizkessel (gene.) für ein Geb.,2001-11-29
100242052,482020,SH,592,Schwarzwaldstrasse,48,8226,Schleitheim,,2677533.804,1289061.12,bestehend,1919-1945,92,2,,Wärmepumpe für ein Geb.,2001-11-29
100242053,482021,SH,1677,Undere Müliweg,6,8226,Schleitheim,,2677385.547,1289053.437,bestehend,1961-1970,127,2,,Heizkessel (gene.) für ein Geb.,2001-11-29
100242054,482023,SH,1603,Hintereggweg,2,8226,Schleitheim,,2677165.108,1288914.491,bestehend,Vor 1919,394,2,,Heizkessel (gene.) für ein Geb.,2001-11-29
100242055,482024,SH,1679,Aegerten,1,8226,Schleitheim,,2676601.023,1288860.968,bestehend,Vor 1919,170,2,,Wärmepumpe für ein Geb.,2001-11-29
100242056,482025,SH,500,Aegerten,5,8226,Schleitheim,,2676512.397,1288847.535,bestehend,1961-1970,174,3,,Heizkessel (gene.) für ein Geb.,2001-11-29
100242057,482026,SH,480,Schwarzwaldstrasse,70,8226,Schleitheim,,2676533.415,1289064.417,bestehend,1946-1960,200,3,,Heizkessel (gene.) für ein Geb.,2001-11-29
100242224,473466,SH,218,Schleitheimerstrasse,18,8222,Beringen,,2685084.919,1283657.242,bestehend,Vor 1919,163,3,2,Heizkessel (gen.) für mehr. Geb.,2001-11-29
100242225,473467,SH,216,Schleitheimerstrasse,20,8222,Beringen,,2685060,1283656.594,bestehend,Vor 1919,222,3,,Wärmepumpe für ein Geb.,2001-11-29
100242226,473468,SH,215,Schleitheimerstrasse,24,8222,Beringen,,2685038.631,1283695.584,bestehend,1986-1990,132,2,,Heizkessel (gen.) für mehr. Geb.,2001-11-29
100242227,473469,SH,219,Postberg,1,8222,Beringen,,2685098.776,1283664.072,bestehend,Vor 1919,225,4,,Heizkessel (gen.) für mehr. Geb.,2001-11-29
100242228,473470,SH,1061,Schleitheimerstrasse,21,8222,Beringen,,2684994.028,1283589.848,bestehend,Vor 1919,1384,2,,Heizkessel (gene.) für ein Geb.,2001-11-29
100242229,473471,SH,1077,Guntmadingerstrasse,14,8222,Beringen,,2684949.13,1283513.863,bestehend,1919-1945,429,2,,Heizkessel (gene.) für ein Geb.,2001-11-29
100242230,473472,SH,206,Höhenweg,10,8222,Beringen,,2685033.273,1283728.468,bestehend,1919-1945,169,1,,Wärmepumpe für ein Geb.,2001-11-29
100242231,473473,SH,217,Postberg,3,8222,Beringen,,2685094.788,1283686.309,bestehend,Vor 1919,383,4,,Heizkessel (gene.) für ein Geb.,2001-11-29
100242232,473474,SH,306,Postberg,4,8222,Beringen,,2685121.999,1283677.822,bestehend,Vor 1919,237,2,,Heizkessel (gene.) für ein Geb.,2001-11-29
100242233,473475,SH,207,Postberg,7,8222,Beringen,,2685099.972,1283702.944,bestehend,Vor 1919,163,3,2,Heizkessel (gene.) für ein Geb.,2001-11-29
100242234,473477,SH,2048,Postberg,11,8222,Beringen,,2685098.551,1283726.297,bestehend,1986-1990,59,3,,Wärmepumpe für ein Geb.,2020-07-06
100242235,473478,SH,299,Postberg,12,8222,Beringen,,2685120,1283733,abgebrochen,Vor 1919,,2,,Ofen,2001-11-29
100242236,473479,SH,204,Postberg,13,8222,Beringen,,2685098.402,1283733.586,bestehend,Vor 1919,122,2,,Wärmepumpe für ein Geb.,2001-11-29
100242237,473480,SH,1059,Stalden,24,8222,Beringen,,2684730.702,1283556.488,bestehend,Vor 1919,330,2,,Heizkessel (gen.) für mehr. Geb.,2001-11-29
100242239,482032,SH,1179,Birkenhof,405,8226,Schleitheim,,2677495.025,1287898.019,bestehend,1986-1990,175,2,,Heizkessel (gene.) für ein Geb.,2001-11-29
100242240,482033,SH,1307,Alphof,409,8226,Schleitheim,,2677372.822,1287993.924,bestehend,1961-1970,191,2,1,Heizkessel (gene.) für ein Geb.,2001-11-29
100242241,482034,SH,1333,Waldhof,436,8226,Schleitheim,,2676356.238,1287278.685,bestehend,1961-1970,185,2,,Heizkessel (gene.) für ein Geb.,2001-11-29
100242242,482035,SH,1362,Uf Alpen,613,8226,Schleitheim,,2676349.756,1288205.883,bestehend,1961-1970,176,2,,Heizkessel (gene.) für ein Geb.,2001-11-29
100242243,482036,SH,1308,Hintereggweg,432,8226,Schleitheim,Bergheim,2677417.806,1288041.967,bestehend,1961-1970,167,2,,Wärmepumpe für ein Geb.,2001-11-29
100242244,482037,SH,1309,Wiesengrund,435,8226,Schleitheim,,2677273.873,1288072.948,bestehend,1946-1960,322,2,,Heizkessel (gene.) für ein Geb.,2001-11-29
100242245,482038,SH,1389,Hintereggweg,478,8226,Schleitheim,,2677178.878,1288484.088,bestehend,1961-1970,139,2,,Wärmepumpe für ein Geb.,2022-12-13
100242246,482039,SH,470,Schwarzwaldstrasse,79,8226,Schleitheim,Zollgebäude,2676401.41,1289138.982,bestehend,Vor 1919,172,2,,Heizkessel (gene.) für ein Geb.,2001-11-29
100242247,482042,SH,478,Flüelistrasse,4,8226,Schleitheim,,2676511.051,1289165.536,bestehend,Vor 1919,327,2,,Heizkessel (gene.) für ein Geb.,2001-11-29
100242248,482043,SH,476,Flüelistrasse,10,8226,Schleitheim,,2676536.694,1289218.666,bestehend,Vor 1919,354,3,,Heizkessel (gene.) für ein Geb.,2001-11-29
100242249,482044,SH,1671,Oberwiesenweg,2,8226,Schleitheim,,2676459.155,1289150.036,bestehend,1971-1980,359,2,,Heizkessel (gene.) für ein Geb.,2001-11-29
100242250,482046,SH,477,Flüelistrasse,8,8226,Schleitheim,,2676522.977,1289197.004,bestehend,1919-1945,206,3,,Heizkessel (gen.) für mehr. Geb.,2001-11-29
100242251,482047,SH,826,Beggingerstrasse,80,8226,Schleitheim,,2679155.176,1289916.875,bestehend,1961-1970,543,1,,Elektro-Zentralheizung ein Geb.,2001-11-29
100242252,482048,SH,58,Zunderst Wyler,8,8226,Schleitheim,,2677972.691,1288596.847,bestehend,1991-1995,449,2,,Heizkessel (gene.) für ein Geb.,2001-11-29
100242253,482051,SH,309,Tauchergasse,7,8226,Schleitheim,,2678813.128,1289407.652,bestehend,Vor 1919,124,3,,Heizkessel (gene.) für ein Geb.,2001-11-29
100242255,482054,SH,1145,Schwarzwaldstrasse,75,8226,Schleitheim,Restaurant,2676422.574,1289096.521,bestehend,Vor 1919,359,3,,Heizkessel (gene.) für ein Geb.,2001-11-29
100242257,482075,SH,1613,Schuelgässli,5,8226,Schleitheim,Turnhallenschulhaus,2678489.408,1289094.434,bestehend,1971-1980,785,,,Wärmetauscher für ein Geb.,2020-06-09
100242258,482084,SH,1869,Breitestrasse,34,8226,Schleitheim,Coop/Bank,2678150.258,1288979.76,bestehend,1946-1960,295,3,,Wärmetauscher für ein Geb.,2001-11-29
100242260,482096,SH,167,Poststrasse,12,8226,Schleitheim,,2678433.748,1289320.42,bestehend,Vor 1919,300,3,,Heizkessel (gene.) für ein Geb.,2001-11-29
100242263,482109,SH,720,Beggingerstrasse,644.1,8226,Schleitheim,Ferkelaufzuchtstall,2679135.497,1290048.678,bestehend,Nach 2015,614,1,,Ofen,2001-11-29
100242266,482169,SH,1895,Beggingerstrasse,84,8226,Schleitheim,,2679249.067,1290023.58,bestehend,Vor 1919,104,2,,Heizkessel (gene.) für ein Geb.,2001-11-29
100242268,482171,SH,279,Beggingerstrasse,37,8226,Schleitheim,,2678798.772,1289543.613,bestehend,1946-1960,112,2,,Elektro-Zentralheizung ein Geb.,2001-11-29
100242269,482179,SH,827,In der Au,26,8225,Siblingen,,2681132.014,1285151.432,bestehend,1996-2000,87,2,,Heizkessel (gene.) für ein Geb.,2018-07-27
100242270,482181,SH,834,In der Au,22,8225,Siblingen,,2681087.169,1285161.87,bestehend,1971-1980,182,2,,Heizkessel (gene.) für ein Geb.,2001-11-29
100242271,482182,SH,519,In der Au,20,8225,Siblingen,,2681062.977,1285168.872,bestehend,1971-1980,120,2,,Heizkessel (gene.) für ein Geb.,2014-01-07
100242272,482183,SH,876,In der Au,19,8225,Siblingen,,2681070.161,1285206.461,bestehend,1986-1990,89,2,,Wärmepumpe für ein Geb.,2001-11-29
100242273,482184,SH,520,In der Au,21,8225,Siblingen,,2681079.303,1285200.954,bestehend,1986-1990,79,2,,Wärmepumpe für ein Geb.,2001-11-29
100242274,482186,SH,795,In der Au,14,8225,Siblingen,,2681138.445,1285185.762,bestehend,1971-1980,149,2,,Heizkessel (gene.) für ein Geb.,2001-11-29
100242275,482187,SH,844,In der Au,15,8225,Siblingen,,2681177.255,1285186.499,bestehend,1981-1985,162,2,,Elektro-Zentralheizung ein Geb.,2001-11-29
100242276,482190,SH,758,In der Au,2,8225,Siblingen,,2681080.069,1285224.166,bestehend,1946-1960,114,2,,Heizkessel (gene.) für ein Geb.,2011-08-24
100242277,482191,SH,66,Mühlenstrasse,13,8225,Siblingen,,2681080.732,1285269.002,bestehend,Vor 1919,210,2,,Heizkessel (gene.) für ein Geb.,2001-11-29
100242278,482193,SH,64,Mühlenstrasse,9,8225,Siblingen,,2681096.235,1285318.806,bestehend,Vor 1919,135,2,,Heizkessel (gene.) für ein Geb.,2001-11-29
100242279,482194,SH,62,Mühlenstrasse,3,8225,Siblingen,,2681107.474,1285342.735,bestehend,Vor 1919,322,3,,Heizkessel (gene.) für ein Geb.,2001-11-29
100242280,482197,SH,51,Hauptstrasse,55,8225,Siblingen,,2681123.795,1285401.838,bestehend,Vor 1919,99,2,,Elektro direkt,2001-11-29
100242281,482198,SH,41,Hauptstrasse,57,8225,Siblingen,,2681065.06,1285397.741,bestehend,Vor 1919,330,4,,Wärmetauscher für ein Geb.,2001-11-29
100242282,482199,SH,39,Hauptstrasse,59,8225,Siblingen,,2681071.111,1285419.965,bestehend,Vor 1919,248,2,,Wärmetauscher für ein Geb.,2020-10-01
